"Feature"	"Gain"	"Cover"	"Frequency"
"91"	"Master_Fvencimiento"	0.00108956774448617	0.00276103115248564	0.00367857825339194
"92"	"Visa_tconsumos__tend"	0.00107242766645333	0.00344329518360892	0.00339193579208867
"93"	"Visa_mfinanciacion_limite"	0.00105884277552038	0.00126093838177339	0.00281865086948213
"94"	"cliente_antiguedad__min"	0.00105502978715245	0.00425913818300398	0.00377412574049303
"95"	"mcuentas_saldo__avg"	0.00104928985151904	0.0040765923130259	0.00300974584368431
"96"	"chomebanking_transacciones__avg"	0.00104445473630554	0.00285239937326135	0.00300974584368431
"97"	"mtarjeta_visa_consumo__tend"	0.00103408144242512	0.00151927773965546	0.00229313969042614
"98"	"mvr_mconsumospesos__tend"	0.00103359980711076	0.00470971680102771	0.00386967322759411
"99"	"mv_mpagominimo__max"	0.0010331767785567	0.00179113960494858	0.0012898910758647
"100"	"tplan_sueldo__avg"	0.00102023033982706	0.00235526901330914	0.00157653353716797
"101"	"marketing_coss_selling__avg"	0.00101792096835726	0.00174822719956655	0.00315306707433594
"102"	"internet__avg"	0.00101786587224322	0.0014657178366826	0.00277087712593159
"103"	"mvr_mpagospesos"	0.00101003634855991	0.00320462628202638	0.00372635199694248
"104"	"mvr_msaldopesos2__avg"	0.0010098290165029	0.00210387356031666	0.00343970953563921
"105"	"Master_fultimo_cierre"	0.0010097778968693	0.00185549947954533	0.00334416204853812
"106"	"mcuentas_saldo__max"	0.00100842541638013	0.00296775581685915	0.00348748327918976
"107"	"mactivos_margen__avg"	0.00100397614533854	0.00367972546541087	0.00372635199694248
"108"	"mvr_msaldopesos2__tend"	0.00100323497108844	0.00351012556050757	0.00377412574049303
"109"	"Visa_mpagospesos__max"	0.00100189349044659	0.00223246085148517	0.00343970953563921
"110"	"mcomisiones__max"	0.000998632538685805	0.0018737222428168	0.00243646092107778
"111"	"mcaja_ahorro_dolares__min"	0.000966003577092077	0.0027479166743185	0.00286642461303268
"112"	"mvr_mpagospesos__tend"	0.000965765295842894	0.00191061792116521	0.00339193579208867
"113"	"mv_tconsumos__tend"	0.000962307873952458	0.00113611684524002	0.00195872348557233
"114"	"mv_marca_atraso"	0.000960875302546507	0.000148308997436254	0.000286642461303268
"115"	"cliente_edad"	0.00095063923084175	0.00336707207048935	0.00343970953563921
"116"	"mrentabilidad_annual"	0.000948785669328235	0.0015887991217534	0.00291419835658322
"117"	"mcomisiones_mantenimiento__max"	0.000937760999148163	0.00130068834945929	0.00200649722912287
"118"	"ctarjeta_debito_transacciones__tend"	0.000932570887768531	0.00344783853062516	0.00348748327918976
"119"	"tcaja_ahorro"	0.000927332160878523	0.00204367493537756	0.00124211733231416
"120"	"mrentabilidad_annual__avg"	0.00092731860684017	0.00288754034312401	0.00334416204853812
"121"	"mcuenta_debitos_automaticos"	0.000911207952291159	0.00253963116121243	0.00195872348557233
"122"	"mvr_mpagominimo__tend"	0.000909298686948	0.00177608747740576	0.00257978215172941
"123"	"mv_Fvencimiento__max"	0.000905270686325791	0.00151695081407691	0.00305751958723486
"124"	"mpasivos_margen__max"	0.000901956660848069	0.00294387990955003	0.00320084081788649
"125"	"tcajas_consultas__tend"	0.000890875401778621	0.00249714240378687	0.00277087712593159
"126"	"thomebanking__avg"	0.00088969142032444	0.00175273318985078	0.00291419835658322
"127"	"mprestamos_prendarios"	0.000889013554027507	0.00379800768930292	0.00133766481941525
"128"	"mv_cuenta_estado2__tend"	0.000880922258270424	0.000259093372649913	0.00119434358876362
"129"	"Visa_mpagominimo__tend"	0.000875887707417304	0.00158952379863076	0.0026753296388305
"130"	"ccomisiones_otras__avg"	0.000875215972218736	0.00257356691649273	0.00324861456143703
"131"	"mcaja_ahorro_Paquete__avg"	0.000871095336428063	0.00204897804720585	0.00315306707433594
"132"	"cprestamos_personales__avg"	0.000868281560205664	0.00493039131328196	0.00272310338238104
"133"	"mvr_msaldopesos2__min"	0.00086794781180486	0.00184541137778351	0.0031052933307854
"134"	"tmovimientos_ultimos90dias__avg"	0.000865551939409134	0.00340594344285623	0.00305751958723486
"135"	"mcomisiones__tend"	0.000860769462455727	0.00236235510614735	0.00286642461303268
"136"	"Visa_mconsumospesos"	0.000858962162788001	0.00327259557662835	0.00324861456143703
"137"	"Visa_tconsumos__max"	0.000857098717271219	0.00114351300285922	0.00214981845977451
"138"	"Master_Fvencimiento__max"	0.000847196673738762	0.0015708074337937	0.00277087712593159
"139"	"mautoservicio"	0.000846086061134581	0.00271752826470538	0.00138543856296579
"140"	"Visa_Fvencimiento"	0.00084552639825624	0.00187136505180324	0.00324861456143703
"141"	"Master_Fvencimiento__min"	0.000844186154690962	0.00145675949072961	0.00296197210013377
"142"	"mcomisiones"	0.000842151989512679	0.0032683411088266	0.00281865086948213
"143"	"internet__tend"	0.000838388699906242	0.000896513046971731	0.00257978215172941
"144"	"mprestamos_personales__avg"	0.000837668454964173	0.00123602699989907	0.00167208102426906
"145"	"Visa_fultimo_cierre__tend"	0.000837569769153368	0.000974836026506403	0.00229313969042614
"146"	"mvr_mpagospesos__min"	0.000836498475397235	0.002550544470031	0.00296197210013377
"147"	"Visa_msaldopesos__tend"	0.000831130859802319	0.0013558279015982	0.0022453659468756
"148"	"mdescubierto_preacordado__tend"	0.000812142121931842	0.00260312482435758	0.00133766481941525
"149"	"mvr_msaldopesos__tend"	0.00080890886016378	0.000945943049967537	0.00214981845977451
"150"	"tcajas__tend"	0.000807987914389906	0.00293185564150256	0.00300974584368431
"151"	"tcallcenter__tend"	0.000805839441342295	0.00349213058950073	0.00291419835658322
"152"	"mv_msaldopesos__tend"	0.000799092943658829	0.00231737787110369	0.00238868717752723
"153"	"mv_fultimo_cierre__tend"	0.000784997074961393	0.00152202943844905	0.00286642461303268
"154"	"mcomisiones_otras__tend"	0.000784149104177142	0.00198714448616194	0.00281865086948213
"155"	"tcaja_ahorro__max"	0.000783521320401633	0.000547430253295815	0.000955474871010892
"156"	"Master_Fvencimiento__avg"	0.000783071435136214	0.00219423049483409	0.00277087712593159
"157"	"mv_mpagospesos__tend"	0.000770649347449441	0.00316010404013474	0.00272310338238104
"158"	"mv_fultimo_cierre__avg"	0.000763674683749679	0.00245753287562993	0.00291419835658322
"159"	"mcuenta_debitos_automaticos__min"	0.000745163432356598	0.00260103657362183	0.00191094974202178
"160"	"Visa_msaldototal"	0.000744774780162932	0.00074596837558228	0.00133766481941525
"161"	"Visa_Fvencimiento__max"	0.00074230767828128	0.00139610616121905	0.00262755589527995
"162"	"Visa_mconsumospesos__avg"	0.000741933919067704	0.00222906507116958	0.00248423466462832
"163"	"tseguro_vida_mercado_abierto__avg"	0.000740014121123307	0.00129605064111643	0.00186317599847124
"164"	"mvr_msaldopesos2__max"	0.00073966123033814	0.0031573350410797	0.0031052933307854
"165"	"mvr_Master_mlimitecompra__tend"	0.000738921824486079	0.00116889499522185	0.0022453659468756
"166"	"Master_fultimo_cierre__avg"	0.000736905674504101	0.0011509429708414	0.00253200840817886
"167"	"Master_marca_atraso__tend"	0.000732476490979824	0.000952602451921626	0.000764379896808714
"168"	"mv_Finiciomora__tend"	0.000731564862954318	0.00129099763731622	0.00152875979361743
"169"	"Visa_fultimo_cierre"	0.000730585150227624	0.00141171742272625	0.00243646092107778
"170"	"Visa_mpagospesos__min"	0.000729901439695853	0.00343938447508499	0.00296197210013377
"171"	"mvr_msaldototal__tend"	0.000729660474429618	0.00138010408140104	0.00229313969042614
"172"	"Visa_mfinanciacion_limite__tend"	0.000728051519884586	0.00110784749652728	0.00195872348557233
"173"	"mvr_mpagospesos__max"	0.000721420691944542	0.00333566905177216	0.00286642461303268
"174"	"Visa_mconsumospesos__tend"	0.000721014285993215	0.00300306920008012	0.00296197210013377
"175"	"mvr_mpagominimo__max"	0.000719867965341843	0.00197423842201717	0.00214981845977451
"176"	"mvr_Visa_mlimitecompra__tend"	0.000715458095559254	0.00182314945136875	0.00248423466462832
"177"	"tcajas_depositos__tend"	0.000714816868100913	0.00218893873685288	0.00229313969042614
"178"	"tmovimientos_ultimos90dias__max"	0.000712402642287843	0.00115781321712505	0.00229313969042614
"179"	"Visa_tconsumos__avg"	0.000711773755581638	0.0018120004769244	0.00229313969042614
"180"	"mcomisiones_mantenimiento__avg"	0.000707471166714751	0.000779027894996884	0.00200649722912287
"181"	"tpagomiscuentas__tend"	0.000707049223230971	0.0028204931894061	0.00214981845977451
"182"	"Visa_msaldopesos__min"	0.000706051407089265	0.000720208089141736	0.00143321230651634
"183"	"mpasivos_margen__avg"	0.000704108716413298	0.00183740647900204	0.00234091343397669
"184"	"mvr_mpagospesos__avg"	0.000704088811925844	0.00145166677323755	0.0022453659468756
"185"	"mcuenta_debitos_automaticos__tend"	0.000703723202371202	0.00325150527190059	0.00248423466462832
"186"	"mv_fultimo_cierre"	0.000693992117593008	0.000979198287916049	0.00238868717752723
"187"	"Visa_Fvencimiento__min"	0.000691669160914663	0.0017375418867013	0.00248423466462832
"188"	"Visa_fultimo_cierre__avg"	0.000680618023900452	0.00130339342739344	0.00243646092107778
"189"	"mcaja_ahorro_Paquete__min"	0.000674035655877758	0.00204585209093087	0.00234091343397669
"190"	"Visa_mfinanciacion_limite__min"	0.000672155096754379	0.00118903004394807	0.00205427097267342
"191"	"mv_mpagospesos__max"	0.000671876339431125	0.00230484652895738	0.00176762851137015
"192"	"mttarjeta_visa_debitos_automaticos__max"	0.000669516442266539	0.00355983246881845	0.00210204471622396
"193"	"Master_mpagominimo"	0.000667060933780041	0.00149617332766765	0.00138543856296579
"194"	"Visa_msaldopesos"	0.000665805227505371	0.000529372121454728	0.00124211733231416
"195"	"tcuenta_debitos_automaticos__tend"	0.000663489514771903	0.00214767187046238	0.00138543856296579
"196"	"marketing_coss_selling__min"	0.000663449588770296	0.000817287159201569	0.00133766481941525
"197"	"Master_msaldototal"	0.000663395451552416	0.00237624807242387	0.00143321230651634
"198"	"mcomisiones_otras__max"	0.000653792992810513	0.00211699475318339	0.00210204471622396
"199"	"mcomisiones_otras"	0.000649294205646304	0.00132573817191231	0.00210204471622396
"200"	"mvr_msaldototal"	0.000640056853163592	0.000444947579616646	0.00105102235811198
"201"	"Visa_mpagominimo__avg"	0.000637692667577687	0.00136170341832415	0.00138543856296579
"202"	"mpagomiscuentas__tend"	0.000634146411115712	0.00304497477258662	0.00205427097267342
"203"	"mv_Fvencimiento"	0.000631478617240145	0.00142798514576931	0.0022453659468756
"204"	"mv_msaldototal__tend"	0.000629280571914691	0.00182385403094066	0.0018154022549207
"205"	"mv_mfinanciacion_limite__min"	0.000618220766643375	0.00145217957485828	0.00186317599847124
"206"	"mvr_msaldopesos"	0.00061730037525366	0.000587499894331275	0.00148098605006688
"207"	"mvr_mconsumospesos"	0.000612102527176719	0.00356350891475601	0.00248423466462832
"208"	"ccomisiones_otras__max"	0.000607372311994712	0.00268804234498875	0.00253200840817886
"209"	"Master_mfinanciacion_limite"	0.000597986208858265	0.00110118892372215	0.00171985476781961
"210"	"cliente_edad__avg"	0.000591354580851572	0.000794425599795733	0.00205427097267342
"211"	"Visa_mpagado__tend"	0.000588474841790051	0.00364538758295259	0.00248423466462832
"212"	"mv_Fvencimiento__avg"	0.00058759620552756	0.00145992701039373	0.00205427097267342
"213"	"Visa_mconsumospesos__max"	0.000586991772489977	0.00230172636348054	0.00219759220332505
"214"	"Visa_mpagospesos__avg"	0.000585966335809688	0.00179442755625039	0.00205427097267342
"215"	"Master_mpagospesos__tend"	0.000580606897158487	0.00194505540196762	0.00191094974202178
"216"	"mv_tconsumos__avg"	0.000578425475641305	0.00264591923712501	0.00195872348557233
